,Address,Google_ID,Latitude,Longitude,Name,Price_Level,Rating,Zip,City_State_Cuisine
0,"#340, 150 Dorset St, South Burlington, VT 05403, United States",927826f89ae529e02985f9403b4bb456fe6373e7,44.46510670000001,-73.17996889999998,HANA Japanese Restaurant,0.0,4.4,5403,burlington-vt-sushi
1,"792 Shelburne Rd, South Burlington, VT 05403, USA",dd13e712ec8b68f515115da34a9205e7e0d1c48d,44.444834,-73.20892599999998,Koto Japanese Restaurant,2.0,4.2,5403,burlington-vt-sushi
2,"88 Church St, Burlington, VT 05401, USA",ed8cba1ffe413ae3ed9d69160eadcf7f1dbd1c37,44.477957,-73.212509,Asiana Noodle Shop,2.0,3.9,5401,burlington-vt-sushi
3,"197 College St, Burlington, VT 05401, USA",cd0f4856399ac1551001a9da08e65965bc6e0741,44.47698399999999,-73.211899,Bento Japanese Delicatessen,0.0,5.0,5401,burlington-vt-sushi
4,"191 Pearl St, Burlington, VT 05401, USA",604b55cf1460a49eb79846e00e41d332ca87321a,44.4802049,-73.21141229999998,Asiana House,1.0,4.3,5401,burlington-vt-sushi
5,"95 St Paul St, Burlington, VT 05401, USA",a5ee1f3225c1f1388a007c2dfb9e6b87e89012fd,44.4773963,-73.2143751,HJ House,0.0,4.4,5401,burlington-vt-sushi
6,"144 Church St, Burlington, VT 05401, USA",3806d82f25d13aa9bcbc3a44fae3035b8ce387f7,44.476387,-73.2122881,Gaku Ramen,0.0,4.2,5401,burlington-vt-sushi
7,"19 Taft Corners Shopping Center, Williston, VT 05495, USA",ba9df8d07bda9e2145aa8a444c015a024e058cde,44.450216,-73.1101,Sakura Sushi & Kitchen,2.0,4.3,5495,burlington-vt-sushi
8,"55 Dorset St, South Burlington, VT 05403, USA",e8d3456db4c5a3a8cff74bb210b2b168977ab753,44.4654612,-73.184148,Tokyo,0.0,5.0,5403,burlington-vt-sushi
9,"25 Winooski Falls Way # 112, Winooski, VT 05404, USA",6978fde80a3a0d5c09e697edb4c7a21e64f1a0a7,44.49039500000001,-73.18548100000001,Asian Bistro,2.0,4.3,5404,burlington-vt-sushi
10,"121 Connor Way, Williston, VT 05495, USA",e8654097bd7035e72c518668d92b02c59bbbc59d,44.4463437,-73.1082668,Asian Bistro,2.0,3.8,5495,burlington-vt-sushi
